"=T(""DateTime"")","=T(""Right"")","=T(""Through"")","=T(""Left"")"
"=T(""11/10/2025 00:00:00"")",3,8,2
"=T(""11/10/2025 00:15:00"")",0,2,3
"=T(""11/10/2025 00:30:00"")",7,2,1
"=T(""11/10/2025 00:45:00"")",1,2,2
"=T(""11/10/2025 01:00:00"")",7,1,1
"=T(""11/10/2025 01:15:00"")",5,1,2
"=T(""11/10/2025 01:30:00"")",4,1,0
"=T(""11/10/2025 01:45:00"")",3,2,0
"=T(""11/10/2025 02:00:00"")",1,2,2
"=T(""11/10/2025 02:15:00"")",0,1,0
"=T(""11/10/2025 02:30:00"")",3,1,1
"=T(""11/10/2025 02:45:00"")",1,0,0
"=T(""11/10/2025 03:00:00"")",2,3,1
"=T(""11/10/2025 03:15:00"")",3,1,0
"=T(""11/10/2025 03:30:00"")",0,0,0
"=T(""11/10/2025 03:45:00"")",3,1,1
"=T(""11/10/2025 04:00:00"")",2,4,0
"=T(""11/10/2025 04:15:00"")",0,3,0
"=T(""11/10/2025 04:30:00"")",3,2,0
"=T(""11/10/2025 04:45:00"")",7,9,0
"=T(""11/10/2025 05:00:00"")",2,3,0
"=T(""11/10/2025 05:15:00"")",7,3,1
"=T(""11/10/2025 05:30:00"")",11,6,0
"=T(""11/10/2025 05:45:00"")",14,5,5
"=T(""11/10/2025 06:00:00"")",14,8,2
"=T(""11/10/2025 06:15:00"")",19,11,1
"=T(""11/10/2025 06:30:00"")",21,20,6
"=T(""11/10/2025 06:45:00"")",33,21,1
"=T(""11/10/2025 07:00:00"")",32,23,5
"=T(""11/10/2025 07:15:00"")",35,23,13
"=T(""11/10/2025 07:30:00"")",54,35,7
"=T(""11/10/2025 07:45:00"")",68,37,3
"=T(""11/10/2025 08:00:00"")",73,85,19
"=T(""11/10/2025 08:15:00"")",67,102,19
"=T(""11/10/2025 08:30:00"")",98,77,35
"=T(""11/10/2025 08:45:00"")",110,84,66
"=T(""11/10/2025 09:00:00"")",123,98,30
"=T(""11/10/2025 09:15:00"")",88,110,33
"=T(""11/10/2025 09:30:00"")",69,88,35
"=T(""11/10/2025 09:45:00"")",54,97,28
"=T(""11/10/2025 10:00:00"")",33,72,19
"=T(""11/10/2025 10:15:00"")",34,76,24
"=T(""11/10/2025 10:30:00"")",51,50,17
"=T(""11/10/2025 10:45:00"")",27,68,28
"=T(""11/10/2025 11:00:00"")",30,57,27
"=T(""11/10/2025 11:15:00"")",46,58,17
"=T(""11/10/2025 11:30:00"")",28,57,26
"=T(""11/10/2025 11:45:00"")",32,51,29
"=T(""11/10/2025 12:00:00"")",32,60,26
"=T(""11/10/2025 12:15:00"")",29,51,25
"=T(""11/10/2025 12:30:00"")",46,52,36
"=T(""11/10/2025 12:45:00"")",49,68,23
"=T(""11/10/2025 13:00:00"")",36,67,31
"=T(""11/10/2025 13:15:00"")",45,70,37
"=T(""11/10/2025 13:30:00"")",31,68,31
"=T(""11/10/2025 13:45:00"")",38,84,34
"=T(""11/10/2025 14:00:00"")",35,43,27
"=T(""11/10/2025 14:15:00"")",24,51,34
"=T(""11/10/2025 14:30:00"")",36,40,29
"=T(""11/10/2025 14:45:00"")",48,69,23
"=T(""11/10/2025 15:00:00"")",28,53,28
"=T(""11/10/2025 15:15:00"")",42,45,35
"=T(""11/10/2025 15:30:00"")",38,63,36
"=T(""11/10/2025 15:45:00"")",32,73,39
"=T(""11/10/2025 16:00:00"")",39,78,26
"=T(""11/10/2025 16:15:00"")",45,57,39
"=T(""11/10/2025 16:30:00"")",46,48,29
"=T(""11/10/2025 16:45:00"")",70,20,46
"=T(""11/10/2025 17:00:00"")",35,83,43
"=T(""11/10/2025 17:15:00"")",36,77,45
"=T(""11/10/2025 17:30:00"")",42,65,33
"=T(""11/10/2025 17:45:00"")",37,55,35
"=T(""11/10/2025 18:00:00"")",46,15,14
"=T(""11/10/2025 18:15:00"")",49,52,15
"=T(""11/10/2025 18:30:00"")",49,60,34
"=T(""11/10/2025 18:45:00"")",41,57,30
"=T(""11/10/2025 19:00:00"")",44,56,30
"=T(""11/10/2025 19:15:00"")",36,44,33
"=T(""11/10/2025 19:30:00"")",27,40,14
"=T(""11/10/2025 19:45:00"")",31,45,28
"=T(""11/10/2025 20:00:00"")",31,32,26
"=T(""11/10/2025 20:15:00"")",24,40,23
"=T(""11/10/2025 20:30:00"")",35,54,40
"=T(""11/10/2025 20:45:00"")",21,46,15
"=T(""11/10/2025 21:00:00"")",28,20,27
"=T(""11/10/2025 21:15:00"")",26,26,15
"=T(""11/10/2025 21:30:00"")",21,27,15
"=T(""11/10/2025 21:45:00"")",23,13,13
"=T(""11/10/2025 22:00:00"")",10,20,11
"=T(""11/10/2025 22:15:00"")",5,19,5
"=T(""11/10/2025 22:30:00"")",11,14,8
"=T(""11/10/2025 22:45:00"")",4,13,9
"=T(""11/10/2025 23:00:00"")",9,9,6
"=T(""11/10/2025 23:15:00"")",2,4,5
"=T(""11/10/2025 23:30:00"")",3,6,6
"=T(""11/10/2025 23:45:00"")",6,7,2
