"=T(""DateTime"")","=T(""Right"")","=T(""Through"")","=T(""Left"")"
"=T(""11/10/2025 00:00:00"")",12,7,4
"=T(""11/10/2025 00:15:00"")",10,2,2
"=T(""11/10/2025 00:30:00"")",5,7,1
"=T(""11/10/2025 00:45:00"")",6,2,0
"=T(""11/10/2025 01:00:00"")",6,4,4
"=T(""11/10/2025 01:15:00"")",3,2,0
"=T(""11/10/2025 01:30:00"")",3,4,1
"=T(""11/10/2025 01:45:00"")",5,1,0
"=T(""11/10/2025 02:00:00"")",2,1,3
"=T(""11/10/2025 02:15:00"")",0,2,0
"=T(""11/10/2025 02:30:00"")",4,1,1
"=T(""11/10/2025 02:45:00"")",3,1,0
"=T(""11/10/2025 03:00:00"")",8,2,1
"=T(""11/10/2025 03:15:00"")",2,2,2
"=T(""11/10/2025 03:30:00"")",4,1,0
"=T(""11/10/2025 03:45:00"")",0,3,1
"=T(""11/10/2025 04:00:00"")",1,1,0
"=T(""11/10/2025 04:15:00"")",0,9,0
"=T(""11/10/2025 04:30:00"")",3,5,1
"=T(""11/10/2025 04:45:00"")",0,6,0
"=T(""11/10/2025 05:00:00"")",5,8,0
"=T(""11/10/2025 05:15:00"")",1,8,1
"=T(""11/10/2025 05:30:00"")",5,11,3
"=T(""11/10/2025 05:45:00"")",5,12,2
"=T(""11/10/2025 06:00:00"")",4,13,2
"=T(""11/10/2025 06:15:00"")",6,9,2
"=T(""11/10/2025 06:30:00"")",11,6,3
"=T(""11/10/2025 06:45:00"")",19,19,10
"=T(""11/10/2025 07:00:00"")",14,17,9
"=T(""11/10/2025 07:15:00"")",26,25,7
"=T(""11/10/2025 07:30:00"")",33,36,15
"=T(""11/10/2025 07:45:00"")",30,38,11
"=T(""11/10/2025 08:00:00"")",22,70,11
"=T(""11/10/2025 08:15:00"")",31,55,96
"=T(""11/10/2025 08:30:00"")",40,42,119
"=T(""11/10/2025 08:45:00"")",26,44,60
"=T(""11/10/2025 09:00:00"")",35,36,34
"=T(""11/10/2025 09:15:00"")",29,35,21
"=T(""11/10/2025 09:30:00"")",30,55,33
"=T(""11/10/2025 09:45:00"")",38,61,32
"=T(""11/10/2025 10:00:00"")",22,53,19
"=T(""11/10/2025 10:15:00"")",38,61,15
"=T(""11/10/2025 10:30:00"")",21,55,14
"=T(""11/10/2025 10:45:00"")",46,51,24
"=T(""11/10/2025 11:00:00"")",32,56,10
"=T(""11/10/2025 11:15:00"")",34,49,25
"=T(""11/10/2025 11:30:00"")",39,60,18
"=T(""11/10/2025 11:45:00"")",47,65,17
"=T(""11/10/2025 12:00:00"")",46,66,27
"=T(""11/10/2025 12:15:00"")",36,47,15
"=T(""11/10/2025 12:30:00"")",43,76,33
"=T(""11/10/2025 12:45:00"")",45,79,18
"=T(""11/10/2025 13:00:00"")",51,79,27
"=T(""11/10/2025 13:15:00"")",52,71,26
"=T(""11/10/2025 13:30:00"")",51,58,30
"=T(""11/10/2025 13:45:00"")",59,70,21
"=T(""11/10/2025 14:00:00"")",50,70,30
"=T(""11/10/2025 14:15:00"")",63,68,28
"=T(""11/10/2025 14:30:00"")",29,52,21
"=T(""11/10/2025 14:45:00"")",66,72,32
"=T(""11/10/2025 15:00:00"")",43,92,25
"=T(""11/10/2025 15:15:00"")",47,75,21
"=T(""11/10/2025 15:30:00"")",43,81,45
"=T(""11/10/2025 15:45:00"")",54,90,14
"=T(""11/10/2025 16:00:00"")",51,96,20
"=T(""11/10/2025 16:15:00"")",57,110,24
"=T(""11/10/2025 16:30:00"")",36,54,30
"=T(""11/10/2025 16:45:00"")",20,58,52
"=T(""11/10/2025 17:00:00"")",47,90,33
"=T(""11/10/2025 17:15:00"")",43,96,22
"=T(""11/10/2025 17:30:00"")",38,106,45
"=T(""11/10/2025 17:45:00"")",48,125,36
"=T(""11/10/2025 18:00:00"")",34,49,16
"=T(""11/10/2025 18:15:00"")",45,92,19
"=T(""11/10/2025 18:30:00"")",51,85,34
"=T(""11/10/2025 18:45:00"")",64,79,21
"=T(""11/10/2025 19:00:00"")",57,74,32
"=T(""11/10/2025 19:15:00"")",54,77,13
"=T(""11/10/2025 19:30:00"")",70,64,19
"=T(""11/10/2025 19:45:00"")",38,54,16
"=T(""11/10/2025 20:00:00"")",54,45,8
"=T(""11/10/2025 20:15:00"")",39,50,18
"=T(""11/10/2025 20:30:00"")",50,53,10
"=T(""11/10/2025 20:45:00"")",40,44,7
"=T(""11/10/2025 21:00:00"")",47,64,6
"=T(""11/10/2025 21:15:00"")",37,32,9
"=T(""11/10/2025 21:30:00"")",24,29,11
"=T(""11/10/2025 21:45:00"")",20,40,3
"=T(""11/10/2025 22:00:00"")",38,31,3
"=T(""11/10/2025 22:15:00"")",30,27,7
"=T(""11/10/2025 22:30:00"")",30,27,3
"=T(""11/10/2025 22:45:00"")",23,25,0
"=T(""11/10/2025 23:00:00"")",18,24,5
"=T(""11/10/2025 23:15:00"")",13,7,3
"=T(""11/10/2025 23:30:00"")",13,11,4
"=T(""11/10/2025 23:45:00"")",5,8,2
