"=T(""DateTime"")","=T(""Right"")","=T(""Through"")","=T(""Left"")"
"=T(""11/10/2025 00:00:00"")",18,44,6
"=T(""11/10/2025 00:15:00"")",11,29,3
"=T(""11/10/2025 00:30:00"")",8,18,2
"=T(""11/10/2025 00:45:00"")",12,20,4
"=T(""11/10/2025 01:00:00"")",6,15,1
"=T(""11/10/2025 01:15:00"")",5,13,0
"=T(""11/10/2025 01:30:00"")",2,7,3
"=T(""11/10/2025 01:45:00"")",8,9,5
"=T(""11/10/2025 02:00:00"")",4,11,0
"=T(""11/10/2025 02:15:00"")",6,11,0
"=T(""11/10/2025 02:30:00"")",1,3,0
"=T(""11/10/2025 02:45:00"")",1,9,1
"=T(""11/10/2025 03:00:00"")",4,9,1
"=T(""11/10/2025 03:15:00"")",3,5,2
"=T(""11/10/2025 03:30:00"")",4,6,3
"=T(""11/10/2025 03:45:00"")",3,3,2
"=T(""11/10/2025 04:00:00"")",2,6,1
"=T(""11/10/2025 04:15:00"")",5,8,2
"=T(""11/10/2025 04:30:00"")",3,8,0
"=T(""11/10/2025 04:45:00"")",3,8,2
"=T(""11/10/2025 05:00:00"")",11,14,2
"=T(""11/10/2025 05:15:00"")",4,9,0
"=T(""11/10/2025 05:30:00"")",17,15,6
"=T(""11/10/2025 05:45:00"")",9,8,4
"=T(""11/10/2025 06:00:00"")",16,16,2
"=T(""11/10/2025 06:15:00"")",15,24,2
"=T(""11/10/2025 06:30:00"")",19,35,6
"=T(""11/10/2025 06:45:00"")",35,54,14
"=T(""11/10/2025 07:00:00"")",35,72,15
"=T(""11/10/2025 07:15:00"")",24,69,12
"=T(""11/10/2025 07:30:00"")",46,61,4
"=T(""11/10/2025 07:45:00"")",23,88,15
"=T(""11/10/2025 08:00:00"")",21,126,11
"=T(""11/10/2025 08:15:00"")",22,147,31
"=T(""11/10/2025 08:30:00"")",29,135,36
"=T(""11/10/2025 08:45:00"")",39,128,46
"=T(""11/10/2025 09:00:00"")",22,99,26
"=T(""11/10/2025 09:15:00"")",16,109,24
"=T(""11/10/2025 09:30:00"")",15,126,19
"=T(""11/10/2025 09:45:00"")",16,143,21
"=T(""11/10/2025 10:00:00"")",10,157,32
"=T(""11/10/2025 10:15:00"")",12,133,30
"=T(""11/10/2025 10:30:00"")",18,137,17
"=T(""11/10/2025 10:45:00"")",12,134,28
"=T(""11/10/2025 11:00:00"")",17,137,41
"=T(""11/10/2025 11:15:00"")",21,170,26
"=T(""11/10/2025 11:30:00"")",10,158,36
"=T(""11/10/2025 11:45:00"")",23,185,31
"=T(""11/10/2025 12:00:00"")",21,174,34
"=T(""11/10/2025 12:15:00"")",23,210,33
"=T(""11/10/2025 12:30:00"")",15,181,27
"=T(""11/10/2025 12:45:00"")",24,198,45
"=T(""11/10/2025 13:00:00"")",26,180,33
"=T(""11/10/2025 13:15:00"")",22,181,40
"=T(""11/10/2025 13:30:00"")",19,201,39
"=T(""11/10/2025 13:45:00"")",16,171,33
"=T(""11/10/2025 14:00:00"")",18,220,39
"=T(""11/10/2025 14:15:00"")",27,217,41
"=T(""11/10/2025 14:30:00"")",18,225,41
"=T(""11/10/2025 14:45:00"")",21,209,28
"=T(""11/10/2025 15:00:00"")",10,204,45
"=T(""11/10/2025 15:15:00"")",13,251,40
"=T(""11/10/2025 15:30:00"")",15,225,46
"=T(""11/10/2025 15:45:00"")",22,231,42
"=T(""11/10/2025 16:00:00"")",38,244,51
"=T(""11/10/2025 16:15:00"")",19,221,53
"=T(""11/10/2025 16:30:00"")",22,237,48
"=T(""11/10/2025 16:45:00"")",18,260,79
"=T(""11/10/2025 17:00:00"")",25,271,71
"=T(""11/10/2025 17:15:00"")",18,255,73
"=T(""11/10/2025 17:30:00"")",23,283,101
"=T(""11/10/2025 17:45:00"")",13,277,74
"=T(""11/10/2025 18:00:00"")",124,47,7
"=T(""11/10/2025 18:15:00"")",105,152,28
"=T(""11/10/2025 18:30:00"")",120,263,66
"=T(""11/10/2025 18:45:00"")",136,268,38
"=T(""11/10/2025 19:00:00"")",119,283,52
"=T(""11/10/2025 19:15:00"")",114,260,46
"=T(""11/10/2025 19:30:00"")",122,231,33
"=T(""11/10/2025 19:45:00"")",84,200,34
"=T(""11/10/2025 20:00:00"")",77,173,17
"=T(""11/10/2025 20:15:00"")",78,166,25
"=T(""11/10/2025 20:30:00"")",84,174,30
"=T(""11/10/2025 20:45:00"")",61,144,30
"=T(""11/10/2025 21:00:00"")",56,146,29
"=T(""11/10/2025 21:15:00"")",66,144,27
"=T(""11/10/2025 21:30:00"")",48,103,22
"=T(""11/10/2025 21:45:00"")",47,133,14
"=T(""11/10/2025 22:00:00"")",47,117,20
"=T(""11/10/2025 22:15:00"")",42,104,10
"=T(""11/10/2025 22:30:00"")",37,87,10
"=T(""11/10/2025 22:45:00"")",26,75,15
"=T(""11/10/2025 23:00:00"")",24,63,13
"=T(""11/10/2025 23:15:00"")",15,42,5
"=T(""11/10/2025 23:30:00"")",18,43,3
"=T(""11/10/2025 23:45:00"")",14,37,7
