"=T(""DateTime"")","=T(""Right"")","=T(""Through"")","=T(""Left"")"
"=T(""11/17/2025 00:00:00"")",1,31,5
"=T(""11/17/2025 00:15:00"")",0,28,4
"=T(""11/17/2025 00:30:00"")",2,21,3
"=T(""11/17/2025 00:45:00"")",0,5,1
"=T(""11/17/2025 01:00:00"")",0,7,2
"=T(""11/17/2025 01:15:00"")",0,8,1
"=T(""11/17/2025 01:30:00"")",0,5,0
"=T(""11/17/2025 01:45:00"")",1,9,1
"=T(""11/17/2025 02:00:00"")",0,13,2
"=T(""11/17/2025 02:15:00"")",0,4,3
"=T(""11/17/2025 02:30:00"")",2,5,2
"=T(""11/17/2025 02:45:00"")",2,9,0
"=T(""11/17/2025 03:00:00"")",0,9,3
"=T(""11/17/2025 03:15:00"")",0,2,2
"=T(""11/17/2025 03:30:00"")",1,12,4
"=T(""11/17/2025 03:45:00"")",2,18,4
"=T(""11/17/2025 04:00:00"")",1,17,1
"=T(""11/17/2025 04:15:00"")",3,22,4
"=T(""11/17/2025 04:30:00"")",9,57,11
"=T(""11/17/2025 04:45:00"")",6,62,10
"=T(""11/17/2025 05:00:00"")",10,61,11
"=T(""11/17/2025 05:15:00"")",6,64,17
"=T(""11/17/2025 05:30:00"")",17,95,20
"=T(""11/17/2025 05:45:00"")",9,86,19
"=T(""11/17/2025 06:00:00"")",16,110,14
"=T(""11/17/2025 06:15:00"")",17,102,15
"=T(""11/17/2025 06:30:00"")",24,227,41
"=T(""11/17/2025 06:45:00"")",24,244,23
"=T(""11/17/2025 07:00:00"")",19,289,38
"=T(""11/17/2025 07:15:00"")",15,293,38
"=T(""11/17/2025 07:30:00"")",16,277,29
"=T(""11/17/2025 07:45:00"")",18,291,27
"=T(""11/17/2025 08:00:00"")",20,293,33
"=T(""11/17/2025 08:15:00"")",10,317,42
"=T(""11/17/2025 08:30:00"")",22,302,45
"=T(""11/17/2025 08:45:00"")",26,282,55
"=T(""11/17/2025 09:00:00"")",29,256,35
"=T(""11/17/2025 09:15:00"")",20,233,57
"=T(""11/17/2025 09:30:00"")",17,200,43
"=T(""11/17/2025 09:45:00"")",21,226,36
"=T(""11/17/2025 10:00:00"")",13,186,29
"=T(""11/17/2025 10:15:00"")",22,210,35
"=T(""11/17/2025 10:30:00"")",17,184,48
"=T(""11/17/2025 10:45:00"")",23,228,39
"=T(""11/17/2025 11:00:00"")",20,155,37
"=T(""11/17/2025 11:15:00"")",23,203,36
"=T(""11/17/2025 11:30:00"")",24,244,41
"=T(""11/17/2025 11:45:00"")",21,204,35
"=T(""11/17/2025 12:00:00"")",22,218,39
"=T(""11/17/2025 12:15:00"")",29,202,42
"=T(""11/17/2025 12:30:00"")",21,215,41
"=T(""11/17/2025 12:45:00"")",29,203,39
"=T(""11/17/2025 13:00:00"")",23,191,47
"=T(""11/17/2025 13:15:00"")",22,187,37
"=T(""11/17/2025 13:30:00"")",24,158,50
"=T(""11/17/2025 13:45:00"")",21,189,36
"=T(""11/17/2025 14:00:00"")",22,205,34
"=T(""11/17/2025 14:15:00"")",18,154,44
"=T(""11/17/2025 14:30:00"")",19,201,42
"=T(""11/17/2025 14:45:00"")",21,213,40
"=T(""11/17/2025 15:00:00"")",18,252,49
"=T(""11/17/2025 15:15:00"")",23,218,40
"=T(""11/17/2025 15:30:00"")",28,222,53
"=T(""11/17/2025 15:45:00"")",26,208,30
"=T(""11/17/2025 16:00:00"")",21,214,46
"=T(""11/17/2025 16:15:00"")",22,225,41
"=T(""11/17/2025 16:30:00"")",23,215,28
"=T(""11/17/2025 16:45:00"")",21,237,38
"=T(""11/17/2025 17:00:00"")",28,243,34
"=T(""11/17/2025 17:15:00"")",23,227,33
"=T(""11/17/2025 17:30:00"")",24,211,35
"=T(""11/17/2025 17:45:00"")",18,214,35
"=T(""11/17/2025 18:00:00"")",15,218,38
"=T(""11/17/2025 18:15:00"")",19,185,29
"=T(""11/17/2025 18:30:00"")",16,178,35
"=T(""11/17/2025 18:45:00"")",12,150,36
"=T(""11/17/2025 19:00:00"")",12,102,27
"=T(""11/17/2025 19:15:00"")",10,116,27
"=T(""11/17/2025 19:30:00"")",13,108,32
"=T(""11/17/2025 19:45:00"")",13,94,27
"=T(""11/17/2025 20:00:00"")",10,95,20
"=T(""11/17/2025 20:15:00"")",13,71,17
"=T(""11/17/2025 20:30:00"")",3,92,16
"=T(""11/17/2025 20:45:00"")",13,82,30
"=T(""11/17/2025 21:00:00"")",2,60,5
"=T(""11/17/2025 21:15:00"")",2,48,16
"=T(""11/17/2025 21:30:00"")",3,52,12
"=T(""11/17/2025 21:45:00"")",2,34,9
"=T(""11/17/2025 22:00:00"")",1,33,10
"=T(""11/17/2025 22:15:00"")",1,48,8
"=T(""11/17/2025 22:30:00"")",3,41,9
"=T(""11/17/2025 22:45:00"")",5,31,5
"=T(""11/17/2025 23:00:00"")",2,22,6
"=T(""11/17/2025 23:15:00"")",2,22,3
"=T(""11/17/2025 23:30:00"")",0,17,3
"=T(""11/17/2025 23:45:00"")",4,31,6
