"=T(""DateTime"")","=T(""Northbound"")","=T(""Southbound"")","=T(""Eastbound"")","=T(""Westbound"")"
"=T(""11/10/2025 00:00:00"")",19,22,83,70
"=T(""11/10/2025 01:00:00"")",11,11,51,37
"=T(""11/10/2025 02:00:00"")",8,19,46,49
"=T(""11/10/2025 03:00:00"")",21,30,58,75
"=T(""11/10/2025 04:00:00"")",34,81,183,219
"=T(""11/10/2025 05:00:00"")",106,126,401,237
"=T(""11/10/2025 06:00:00"")",306,275,863,467
"=T(""11/10/2025 07:00:00"")",799,776,1516,563
"=T(""11/10/2025 08:00:00"")",734,602,1499,665
"=T(""11/10/2025 09:00:00"")",510,520,1109,646
"=T(""11/10/2025 10:00:00"")",437,554,973,810
"=T(""11/10/2025 11:00:00"")",531,627,985,910
"=T(""11/10/2025 12:00:00"")",530,678,1108,1052
"=T(""11/10/2025 13:00:00"")",463,670,950,950
"=T(""11/10/2025 14:00:00"")",552,727,1010,1228
"=T(""11/10/2025 15:00:00"")",616,764,1137,1422
"=T(""11/10/2025 16:00:00"")",709,933,1159,1570
"=T(""11/10/2025 17:00:00"")",627,764,1109,940
"=T(""11/10/2025 18:00:00"")",440,514,933,930
"=T(""11/10/2025 19:00:00"")",316,398,617,817
"=T(""11/10/2025 20:00:00"")",225,295,380,575
"=T(""11/10/2025 21:00:00"")",114,221,296,396
"=T(""11/10/2025 22:00:00"")",68,93,138,215
"=T(""11/10/2025 23:00:00"")",37,50,136,153
